string_cc	area
3703.16.02.10| Transporte materiales provenientes de excavación de explanación, canales y préstamos (100 - 1.000 m)	uf3
3703.16.02.11| Transporte materiales provenientes de excavación de explanación, canales y préstamos (>1.000 m)	uf3
3703.16.03| BASES, SUBBASES Y AFIRMADOS	uf3
3703.16.03.02| Subbase Granular	uf3
3703.16.03.03| Transporte de subbase granular	uf3
3703.16.03.04| MGTC clase 4, gradación tipo MGTC-25 (Base Granular - NO incluye cemento)	uf3
3703.16.03.05| Transporte de MGTC clase 4	uf3
3703.16.03.06| Base granular estabilizada con cemento (No incluye cemento)	uf3
3703.16.03.07| Transporte de base granular	uf3
3703.16.03.08| Cemento hidráulico para base tratada con cemento	uf3
3703.16.04| PAVIMENTOS ASFALTICOS	uf3
3703.16.04.01| Fresado de pavimento asfáltico	uf3
3703.16.04.02| Microfresado de pavimento asfáltico	uf3
3703.16.04.03| Riego de Liga con emulsión asfáltica	uf3
3703.16.04.04| Sello de fisuras	uf3
3703.16.04.05| Mezcla densa en caliente tipo MDC-19 para Bacheo	uf3
3703.16.04.06| Mezcla densa en caliente tipo MDC-25 Base Asfáltica	uf3
3703.16.04.07| Mezcla asfáltica modificada con grano de caucho	uf3
3703.16.04.08| Mezcla asfáltica tipo MDC-19 modificada con polímero tipo III	uf3
3703.16.04.09| Limpieza entrega fin de obra	uf3
3703.16.04.10| Transporte de mezcla asfáltica	uf3
3703.17.01| DEMOLICIONES Y REUBICACIONES	uf3
3703.17.01.02| Demolición de Estructuras	uf3
3703.17.02| EXPLANACIONES	uf3
3703.17.02.05| Excavaciones en material común de la Explanación y Canales	uf3
3703.17.02.06| Excavación en material común de préstamos	uf3
3703.17.02.07| Terraplenes (solo conformación)	uf3
3703.17.02.08| Conformación y disposición de sobrantes (incluye obras de adecuación)	uf3
3703.17.02.10| Transporte materiales provenientes de excavación de explanación, canales y préstamos (>1.000 m)	uf3
3703.17.03| BASES, SUBBASES Y AFIRMADOS	uf3
3703.17.03.02| Subbase Granular	uf3
3703.17.03.03| Transporte de subbase granular	uf3
3703.17.03.04| Transporte de base granular	uf3
3703.17.03.05| Cemento hidráulico para base tratada con cemento	uf3
3703.17.04| PAVIMENTOS ASFALTICOS	uf3
3703.17.04.01| Riego de imprimación con emulsión asfáltica	uf3
3703.17.04.03| Mezcla densa en caliente tipo MDC-25 Base Asfáltica	uf3
3703.17.04.05| Mezcla asfáltica tipo MDC-19 modificada con polímero tipo III	uf3
3703.17.04.06| Transporte de mezcla asfáltica	uf3
3703.17.06| DRENAJE TRANSVERSAL	uf3
3703.17.06.01| Excavaciones varias sin clasicar	uf3
3703.17.06.02| Rellenos con material seleccionado	uf3
3703.17.06.04| Acero de refuerzo Fy=420 Mpa.	uf3
3703.17.06.05| Tubería de Concreto Reforzado de 900mm de diámetro interior (Tipo III)	uf3
3703.17.06.07| Concreto clase 14 MPA (solados, estructuras)	uf3
3703.17.06.09| Concreto clase  28 MPA (encoles, descoles, box, sumideros)	uf3
3703.17.06.69| Concreto clase 21 MPA (atraques, cabezales)	uf3
3703.17.11| OTROS	uf3
3703.17.11.01| Desvíos de tráfico	uf3
3703.17.11.05| Manejo de aguas durante la intervención	uf3
3703.99.01| Ajustes de margen	uf3
3703.99.02| Producciones	uf3
3703.99.03| Material Subbase granular para firmes	uf3
3703.99.04| Material Subbase granular para afirmados	uf3
3703.99.05| Material Base granular para firmes	uf3
3703.99.06| Materiales plantas	uf3
3703.99.07| Materiales Almacén	uf3
3703.99.08| Certificación anticipada	uf3
3703.99.09| Costo EPC 4% Certificacion anticipada	uf3
